artist_name,climate_category,track_count
Billie Eilish,Cold,54
Billie Eilish,Cool,180
Billie Eilish,Hot,99
Billie Eilish,Warm,189
"Billie Eilish, Khalid",Cold,6
"Billie Eilish, Khalid",Cool,20
"Billie Eilish, Khalid",Hot,11
"Billie Eilish, Khalid",Warm,21
"Don Toliver, Justin Bieber, Future",Cold,6
"Don Toliver, Justin Bieber, Future",Cool,20
"Don Toliver, Justin Bieber, Future",Hot,11
"Don Toliver, Justin Bieber, Future",Warm,21
Drake,Cold,24
Drake,Cool,79
Drake,Hot,44
Drake,Warm,84
"Drake, Central Cee",Cold,6
"Drake, Central Cee",Cool,20
"Drake, Central Cee",Hot,11
"Drake, Central Cee",Warm,21
"Drake, Chris Brown",Cold,6
"Drake, Chris Brown",Cool,20
"Drake, Chris Brown",Hot,11
"Drake, Chris Brown",Warm,21
"Drake, Travis Scott",Cold,6
"Drake, Travis Scott",Cool,20
"Drake, Travis Scott",Hot,11
"Drake, Travis Scott",Warm,21
"Drake, Wizkid, Kyla",Cold,6
"Drake, Wizkid, Kyla",Cool,20
"Drake, Wizkid, Kyla",Hot,11
"Drake, Wizkid, Kyla",Warm,21
Future,Cold,12
Future,Cool,40
Future,Hot,22
Future,Warm,38
"Future, Drake",Cold,6
"Future, Drake",Cool,20
"Future, Drake",Hot,11
"Future, Drake",Warm,21
"Future, Drake, Tems",Cold,6
"Future, Drake, Tems",Cool,20
"Future, Drake, Tems",Hot,11
"Future, Drake, Tems",Warm,21
"Future, Metro Boomin, Kendrick Lamar",Cold,6
"Future, Metro Boomin, Kendrick Lamar",Cool,20
"Future, Metro Boomin, Kendrick Lamar",Hot,11
"Future, Metro Boomin, Kendrick Lamar",Warm,21
"Future, Metro Boomin, Travis Scott, Playboi Carti",Cold,6
"Future, Metro Boomin, Travis Scott, Playboi Carti",Cool,20
"Future, Metro Boomin, Travis Scott, Playboi Carti",Hot,11
"Future, Metro Boomin, Travis Scott, Playboi Carti",Warm,21
"Future, The Weeknd",Cold,6
"Future, The Weeknd",Cool,20
"Future, The Weeknd",Hot,11
"Future, The Weeknd",Warm,21
Kendrick Lamar,Cold,24
Kendrick Lamar,Cool,79
Kendrick Lamar,Hot,44
Kendrick Lamar,Warm,84
"Kendrick Lamar, Jay Rock",Cold,1
"Kendrick Lamar, Jay Rock",Cool,1
"Kendrick Lamar, Jay Rock",Warm,1
"Kendrick Lamar, Lefty Gunplay",Cold,6
"Kendrick Lamar, Lefty Gunplay",Cool,20
"Kendrick Lamar, Lefty Gunplay",Hot,11
"Kendrick Lamar, Lefty Gunplay",Warm,21
"Kendrick Lamar, SZA",Cold,12
"Kendrick Lamar, SZA",Cool,39
"Kendrick Lamar, SZA",Hot,22
